position,position_change,team,points,gain,interval,gap,p1,p2,p3,top5,top10,best_finish,best_quali,fastest_laps,poles,dotd,penalty_points,dnfs,races
1,,MERCEDES,72,+34,2,3,4,1,1,1,2,2,,,,,,,
2,0,MCLAREN MERCEDES,58,+29,+14,+14,2,4,4,3,2,,,,,,,,
3,+2,FERRARI,42,+28,+16,+30,1,1,4,2,3,2,,,,,,,
4,,ASTON MARTIN ARAMCO MERCEDES,31,+17,+11,+41,1,4,4,6,1,2,,,,,,,
5,-2,ALPINE RENAULT,22,+2,+9,+50,1,1,1,2,2,1,2,,,,,,
6,0,HAAS FERRARI,7,+4,+15,+65,2,9,9,2,,,,,,,,,
7,,RACING BULLS HONDA RBPT,3,+1,+4,+69,11,2,,,,,,,,,,,
8,0,WILLIAMS MERCEDES,1,+2,+71,12,12,4,1,2,,,,,,,,,
9,,KICK SAUBER FERRARI,2,+1,+72,1,8,7,1,1,1,,,,,,,,
19,-1,RED BULL RACING HONDA RBPT,2,+72,15,11,3,1,2,,,,,,,,,,
